date,followers_count,following_count,media_count,engagement_rate,average_likes,average_comments,comments_to_likes_ratio,weekly_posts,account,daily_gain,posts_per_day,month,growth_rate
2025-05-27,17182,269,836,12.45,2127.6,11.5,0.541,12.0,overtake,4.0,1.7142857142857142,2025-05,0.023280176929344663
2025-05-28,17279,270,837,13.119,2256.3,10.5,0.465,12.0,overtake,97.0,1.7142857142857142,2025-05,0.5613750795763645
2025-05-29,17312,270,838,11.947,2055.3,12.9,0.628,12.0,overtake,33.0,1.7142857142857142,2025-05,0.1906192236598891
2025-05-30,17438,272,838,11.041,1915.5,9.8,0.512,10.0,overtake,126.0,1.4285714285714286,2025-05,0.7225599265970868
2025-05-31,17494,274,839,15.444,2676.1,25.6,0.957,8.0,overtake,56.0,1.1428571428571428,2025-05,0.3201097519149423
2025-06-01,17525,273,839,16.041,2784.2,27.0,0.97,5.0,overtake,31.0,0.7142857142857143,2025-06,0.1768901569186876
2025-06-02,17554,273,839,18.359,3180.6,42.2,1.327,5.0,overtake,29.0,0.7142857142857143,2025-06,0.16520451179218412
2025-06-03,17559,273,840,18.885,3271.3,44.8,1.369,4.0,overtake,5.0,0.5714285714285714,2025-06,0.028475425707614327
2025-06-04,17570,273,840,19.404,3361.7,47.6,1.416,3.0,overtake,11.0,0.42857142857142855,2025-06,0.06260671599317018
2025-06-05,17584,277,841,21.063,3650.0,53.7,1.471,3.0,overtake,14.0,0.42857142857142855,2025-06,0.07961783439490447
2025-06-06,17607,277,842,21.429,3718.1,54.9,1.477,4.0,overtake,23.0,0.5714285714285714,2025-06,0.1306298631226217
2025-06-07,17627,278,845,22.703,3944.5,57.3,1.453,6.0,overtake,20.0,0.8571428571428571,2025-06,0.11346230215011062
2025-06-08,17668,280,848,23.143,4031.1,57.8,1.434,9.0,overtake,41.0,1.2857142857142858,2025-06,0.23205795788997058
2025-06-09,17714,280,850,23.903,4175.3,58.9,1.411,11.0,overtake,46.0,1.5714285714285714,2025-06,0.2596816077678672
2025-06-10,17730,281,852,24.045,4204.6,58.6,1.394,12.0,overtake,16.0,1.7142857142857142,2025-06,0.09024252679075014
2025-06-11,17758,281,853,18.621,3266.9,39.8,1.218,13.0,overtake,28.0,1.8571428571428572,2025-06,0.15767541389796147
2025-06-12,17863,278,854,15.736,2797.0,14.0,0.501,13.0,overtake,105.0,1.8571428571428572,2025-06,0.5878071992386497
2025-06-13,17902,278,855,22.565,4006.3,33.3,0.831,13.0,overtake,39.0,1.8571428571428572,2025-06,0.21785275388224778
2025-06-14,17929,278,856,23.614,4198.0,35.8,0.853,11.0,overtake,27.0,1.5714285714285714,2025-06,0.1505940097049473
2025-06-15,17942,278,856,24.897,4428.8,38.3,0.865,8.0,overtake,13.0,1.1428571428571428,2025-06,0.07245569055846618
2025-06-16,17954,278,856,25.623,4561.4,38.9,0.853,6.0,overtake,12.0,0.8571428571428571,2025-06,0.06683747354350006
2025-06-17,17964,278,857,26.014,4633.8,39.3,0.848,5.0,overtake,10.0,0.7142857142857143,2025-06,0.055666889334224
2025-06-18,17983,278,857,26.132,4659.9,39.5,0.848,5.0,overtake,19.0,0.7142857142857143,2025-06,0.10565534115553579
2025-06-19,17997,278,857,26.727,4769.8,40.3,0.845,3.0,overtake,14.0,0.42857142857142855,2025-06,0.07779074290159471
2025-06-20,18004,278,858,26.982,4817.3,40.5,0.841,3.0,overtake,7.0,0.42857142857142855,2025-06,0.038880248833592534
2025-06-21,18012,278,859,27.258,4869.1,40.6,0.834,3.0,overtake,8.0,0.42857142857142855,2025-06,0.04441483455474128
2025-06-22,18018,279,861,26.727,4777.0,38.7,0.81,5.0,overtake,6.0,0.7142857142857143,2025-06,0.0333000333000333
2025-06-23,18052,279,862,27.255,4880.8,39.3,0.805,6.0,overtake,34.0,0.8571428571428571,2025-06,0.18834478174163527
2025-06-24,18080,279,863,23.137,4116.6,66.5,1.615,6.0,overtake,28.0,0.8571428571428571,2025-06,0.15486725663716813
2025-06-25,18105,279,864,24.052,4286.3,68.3,1.593,7.0,overtake,25.0,1.0,2025-06,0.13808340237503453
2025-06-26,18128,279,864,22.757,4058.2,67.1,1.653,7.0,overtake,23.0,1.0,2025-06,0.1268755516328332
2025-06-27,18135,279,865,23.527,4201.5,65.2,1.552,7.0,overtake,7.0,1.0,2025-06,0.03859939343810312
2025-06-28,18154,279,868,24.21,4328.7,66.4,1.534,9.0,overtake,19.0,1.2857142857142858,2025-06,0.10466012999889832
2025-06-29,18201,279,868,14.912,2671.8,42.3,1.583,7.0,overtake,47.0,1.0,2025-06,0.258227569913741
2025-06-30,18231,279,868,17.189,3090.0,43.8,1.417,6.0,overtake,30.0,0.8571428571428571,2025-06,0.1645548790521639
2025-07-01,18238,279,869,17.359,3122.0,44.0,1.409,6.0,overtake,7.0,0.8571428571428571,2025-07,0.03838140146945937
2025-07-02,18266,279,870,17.592,3169.0,44.3,1.398,6.0,overtake,28.0,0.8571428571428571,2025-07,0.15329026606810467
2025-07-03,18291,279,870,20.169,3642.1,47.1,1.293,6.0,overtake,25.0,0.8571428571428571,2025-07,0.1366792411568531
2025-07-04,18302,279,871,22.345,4038.2,51.3,1.27,6.0,overtake,11.0,0.8571428571428571,2025-07,0.06010272101409682
2025-07-05,18309,279,871,23.142,4184.7,52.3,1.25,3.0,overtake,7.0,0.42857142857142855,2025-07,0.03823256322027418
2025-07-06,18312,279,871,21.323,3852.3,52.3,1.358,3.0,overtake,3.0,0.42857142857142855,2025-07,0.0163826998689384
2025-07-07,18314,280,872,21.559,3895.7,52.6,1.35,4.0,overtake,2.0,0.5714285714285714,2025-07,0.010920607185759528
2025-07-08,18313,280,872,21.647,3911.3,52.9,1.352,4.0,overtake,-1.0,0.5714285714285714,2025-07,-0.005460601758313767
2025-07-09,18316,280,872,20.544,3710.5,52.3,1.41,2.0,overtake,3.0,0.2857142857142857,2025-07,0.016379122079056563
2025-07-10,18320,282,873,20.63,3727.1,52.3,1.403,2.0,overtake,4.0,0.2857142857142857,2025-07,0.021834061135371178
2025-07-11,18329,282,877,20.804,3760.8,52.4,1.393,4.0,overtake,9.0,0.5714285714285714,2025-07,0.049102515139942175
2025-07-12,18350,282,881,21.349,3898.3,19.3,0.495,6.0,overtake,21.0,0.8571428571428571,2025-07,0.11444141689373297
2025-07-13,18394,284,883,18.449,3369.3,24.2,0.718,12.0,overtake,44.0,1.7142857142857142,2025-07,0.2392084375339785
2025-07-14,18432,284,884,18.197,3329.5,24.5,0.736,12.0,overtake,38.0,1.7142857142857142,2025-07,0.20616319444444445
2025-07-15,18457,285,885,19.261,3534.2,20.8,0.589,12.0,overtake,25.0,1.7142857142857142,2025-07,0.13544996478300916
2025-07-16,18479,285,886,22.27,4092.3,22.9,0.56,13.0,overtake,22.0,1.8571428571428572,2025-07,0.11905406136695708
2025-07-17,18493,286,887,23.18,4251.9,34.8,0.818,14.0,overtake,14.0,2.0,2025-07,0.07570432055372303
2025-07-18,18574,286,889,24.75,4559.8,37.3,0.818,12.0,overtake,81.0,1.7142857142857142,2025-07,0.4360934639819102
2025-07-19,18656,286,892,31.51,5818.3,60.2,1.035,11.0,overtake,82.0,1.5714285714285714,2025-07,0.4395368782161235
2025-07-20,18699,287,893,31.096,5761.4,53.2,0.923,10.0,overtake,43.0,1.4285714285714286,2025-07,0.22995882132734372
